						
	Accessible in game	True Pacifist	Not accessible	TODO		
* (HP fully restored.)/%%			Narrator	Ruins	room_ruins1, room_ruins7	
* (Playfully crinkling through&  the leaves fills you with&  determination.)/			Narrator	Ruins	room_ruins7	
* (Knowing the mouse might one&  day leave its hole and&  get the cheese...)/			Narrator	Ruins	room_ruins12A	
* (It fills you with&  determination.)/%%			Narrator	Ruins, Snowdin, Waterfall, Hotland	room_ruins12A, room_tundra_spaghetti, room_tundra_lesserdog, room_water_savepoint1, room_water_preundyne, room_fire_mewmew2	
* (Seeing such a cute^1, tidy&  house in the RUINS gives&  you determination.)/%%			Narrator	Ruins	room_ruins19	
* Determination./%%			Narrator	Ruins, Snowdin, Waterfall, Hotland, Core	room_ruins1, room_ruins7, room_ruins12A, room_ruins19, room_tundra3, room_tundra_spaghetti, room_tundra_lesserdog, room_tundra_town, room_water2, room_water4, room_water_savepoint1, room_water_preundyne, room_water_trashsavepoint, room_water_friendlyhub, room_water_temvillage, room_water_undynefinal, room_fire_prelab, room_fire6, room_fire_savepoint1, room_fire_mewmew2, room_fire_savepoint2, room_fire_hotellobby, room_fire_core_branch, room_fire_core_premett	
* (The cold atmosphere of a&  new land... it fills you&  with determination.)/%%			Narrator	Snowdin		
* (The convenience of that&  lamp still fills you&  with determination.)/%%			Narrator	Snowdin	room_tundra3	
* (Knowing the mouse might one&  day find a way to heat&  up the spaghetti...)/			Narrator	Snowdin	room_tundra_spaghetti	
* (Knowing that dog will&  never give up trying to&  make the perfect snowdog...)/			Narrator	Snowdin	room_tundra_lesserdog	
* (Snow can always be broken&  down and rebuilt into&  something more useful.)/			Narrator	Snowdin	room_tundra_lesserdog	
* (This simple fact fills&  you with determination.)/%%			Narrator	Snowdin	room_tundra_lesserdog	
* (The sight of such a friendly&  town fills you with&  determination.)/%%			Narrator	Snowdin	room_tundra_town	
* (The sound of rushing water&  fills you with&  determination.)/%%			Narrator	Waterfall	room_water2	
* (A feeling of dread hangs&  over you...^1)&* (But you stay determined.)/%%			Narrator	Waterfall	room_water4	
* (Knowing the mouse might one&  day extract the cheese from&  the mystical crystal...)/			Narrator	Waterfall	room_water_savepoint1	
* (The sound of muffled rain&  on the cavetop...)/			Narrator	Waterfall	room_water_preundyne	
* (The serene sound of a&  distant music box...)/			Narrator	Waterfall	room_water_preundyne	
* (The feeling of your socks&  squishing as you step&  gives you determination.)/%%			Narrator	Waterfall		
* (The waterfall here seems&  to flow from the&  ceiling of the cavern...)/			Narrator	Waterfall	room_water_trashsavepoint	
* (Occasionally^1, a piece of&  trash will flow&  through...)/			Narrator	Waterfall	room_water_trashsavepoint	
* (... and fall into the&  bottomless abyss below.)/			Narrator	Waterfall	room_water_trashsavepoint	
* (Viewing this endless&  cycle of worthless&  garbage...)/			Narrator	Waterfall	room_water_trashsavepoint	
* (Partaking in worthless&  garbage fills you&  with determination.)/%%			Narrator	Waterfall	room_water_trashsavepoint	
* (You feel a calming&  tranquility^1. You're filled&  with determination...)/%%			Narrator	Waterfall	room_water_friendlyhub	
* (You feel..^1. something.)&* (You're filled with&  detemmienation.)/%%			Narrator	Waterfall	room_water_temvillage	
* (The wind is howling^1.&* You're filled with&  determination...)/%%			Narrator	Waterfall	room_water_undynefinal	
* (The howling wind is&  now a breeze^1. This gives&  you determination...)/%%			Narrator	Waterfall	room_water_undynefinal	
* (The wind has stopped^1.&* You're filled with&  determination...)/%%			Narrator	Waterfall	room_water_undynefinal	
* (Seeing such a strange&  laboratory in a place like&  this...)/			Narrator	Hotland	room_fire_prelab	
* (You're filled with&  determination.)/%%			Narrator	Hotland, Core	room_fire_prelab, room_fire6, room_fire_savepoint2, room_fire_core_premett	
* (The wooshing sound of steam&  and cogs..^1. it fills you&  with determination.)/%%			Narrator	Hotland	room_fire6	
* (An ominous structure looms&  in the distance...)/			Narrator	Hotland	room_fire_savepoint1	
* (Knowing the mouse might one&  day hack the computerized&  safe and get the cheese...)/			Narrator	Hotland	room_fire_mewmew2	
* (A huge structure lies north.^1)&* (You're filled with&  determination.)/%%			Narrator	Hotland		
* (The relaxing atmosphere&  of this hotel..^1. it fills&  you with determination.)/%%			Narrator	Hotland	room_fire_hotellobby	
* (The air is filled with&  the smell of ozone..^1. it fills&  you with determination.)/%%			Narrator	Core	room_fire_core_branch	
* (Behind this door must be&  the elevator to the King's&  castle.)/			Narrator	Core	room_fire_core_premett	
* (The smell of cobwebs fills&  the air...)/			Narrator	Hotland	room_fire_savepoint2	
 was&  put away.			Narrator			
 was&  tossed inside recklessly.			Narrator			
 was&  placed thoughtfully inside.			Narrator			
 was&  taken out.			Narrator			
 was&  grabbed impatiently.			Narrator			
 was&  taken out and held like a&  small puppy.			Narrator			
* You can't carry any more./%%			Narrator			
* The box is full./%%			Narrator			
* You leave the Quiche on the&  ground and tell it you'll&  be right back./%%			Narrator			
* Use the box?& &         Yes         No      \C 			Narrator and Frisk	Snowdin, Waterfall, Hotland, New Home	room_tundra3, room_tundra_town, room_water3, room_water11, room_water_temvillage, room_fire_hotellobby, room_castle_front, room_sanscorridor	
choice						
instance_exists						
instance_create						
  %%			Menu			
floor						
gx						
* You have no items^1.&* You put a little time into&  the box./%%			Narrator			
* You have no items^1.&* You put a little effort&  into the box./%%			Narrator			
* You have no items^1.&* You put a little feeling&  into the box./%%			Narrator			
\W* Howdy^2!&* I'm\Y FLOWEY\W.^2 &* \YFLOWEY\W the \YFLOWER\W!/			Flowey	Ruins	room_area1_2	
* Hmmm.../			Flowey	Ruins	room_area1_2	
* You're new to the&  UNDERGROUND^2, aren'tcha?/			Flowey	Ruins	room_area1_2	
* Golly^1, you must be&  so confused./			Flowey	Ruins	room_area1_2	
* Someone ought to teach&  you how things work&  around here!/			Flowey	Ruins	room_area1_2	
* I guess little old me&  will have to do./			Flowey	Ruins	room_area1_2	
* Ready^2?&* Here we go!/%%			Flowey	Ruins	room_area1_2	
\E2* This way./%%			Toriel	Ruins	room_area1_2	
\E2* Welcome to your new&  home^1, innocent one./			Toriel	Ruins	room_ruins2	Text variation
* Allow me to educate you&  in the operation of the&  RUINS./%%			Toriel	Ruins	room_ruins2	
\E2* The RUINS are full of&  puzzles./			Toriel	Ruins	room_ruins2	
* Ancient fusions between &  diversions and doorkeys./			Toriel	Ruins	room_ruins2	
* One must solve them&  to move from room to&  room./			Toriel	Ruins	room_ruins2	
* Please adjust yourself    to the sight of them./%			Toriel	Ruins	room_ruins2	
\E2* To make progress here,^1 &  you will need to trigger&  several switches./			Toriel	Ruins	room_ruins3	
* Do not worry,^1 I have &  labelled the ones that&  you need to flip./%			Toriel	Ruins	room_ruins3	
* Do not worry,^1 I have &  labelled the ones that&  you need to flip./			Toriel	Ruins	room_ruins3	
* ... eh^1?&* It seems that the&  labelling has worn away./			Toriel	Ruins	room_ruins3	
* Oh dear./			Toriel	Ruins	room_ruins3	
* This might be far more&  challenging than I&  anticipated.../%%			Toriel	Ruins	room_ruins3	
\E2* The first switch is over&  on the wall./%			Toriel	Ruins	room_ruins3	
\E1* Do you need some help..^1?&* Press the switch on the   wall./			Toriel	Ruins	room_ruins3	
\E0* Come on^1, you can do it!/%			Toriel	Ruins	room_ruins3	
\E2* Go on^1, press the switch&  on the left./%			Toriel	Ruins	room_ruins3	
\E2* I believe it was&  the switch on the&  left./%			Toriel	Ruins	room_ruins3	
\E1* You do know which way&  left is^1, do you not?/			Toriel	Ruins	room_ruins3	
\E0* Press the switch that I&  labelled for you./%			Toriel	Ruins	room_ruins3	
\E1* You do know which way&  left is^1, do you not?/%%			Toriel	Ruins	room_ruins3	
\E1* You are very curious,^1 &  are you not?/			Toriel	Ruins	room_ruins3	
\E1* Please understand.^2 & \E0I only want the best&  for you./%			Toriel	Ruins	room_ruins3	
\E0* Splendid!^2 &* I am proud of you,^1 &  little one./			Toriel	Ruins	room_ruins3	
* Let us move to the&  next room./%			Toriel	Ruins	room_ruins3	
\E1* As a human living in&  the UNDERGROUND,^1 &  monsters may attack you./			Toriel	Ruins	room_ruins4	
\E2* You will need to be&  prepared for this&  situation./			Toriel	Ruins	room_ruins4	
\E0* However, worry not!^2 &* The process is simple./			Toriel	Ruins	room_ruins4	
\E2* When you encounter a &  monster,^1 you will enter&  a FIGHT./			Toriel	Ruins	room_ruins4	
* While you are in a&  FIGHT^1, strike up a&  friendly conversation./			Toriel	Ruins	room_ruins4	
\E2* Stall for time.&  I will come to resolve&  the conflict./			Toriel	Ruins	room_ruins4	
\E2* Practice talking to&  the dummy./%			Toriel	Ruins	room_ruins4	
\E1* Ahh,^1 the dummies are&  not for fighting!^2 &* They are for talking!/			Toriel	Ruins	room_ruins4	
* We do not want to hurt&  anybody, do we...?^2 \E0 &* Come now./%			Toriel	Ruins	room_ruins4	
\E0* Ah,^1 very good!^2 &* You are very good./%			Toriel	Ruins	room_ruins4	
\E1* .../			Toriel	Ruins	room_ruins4	
\E1* ... you ran away.../			Toriel	Ruins	room_ruins4	
\E0* Truthfully^1, that was&  not a poor choice./			Toriel	Ruins	room_ruins4	
\E0* It is better to&  avoid conflict&  whenever possible./			Toriel	Ruins	room_ruins4	
\E1* That..^1. however^1, is&  only a dummy^2.&* It cannot harm you./			Toriel	Ruins	room_ruins4	
\E1* It is made of cotton^1.&* It has no desire&  for revenge.../			Toriel	Ruins	room_ruins4	
\E0* Nevermind^2.&* Stay close to me and&  I will keep you safe./%			Toriel	Ruins	room_ruins4	
\E3* ^1.^1.^1./			Toriel	Ruins	room_ruins4	
\E4* ^1.^1.^1./			Toriel	Ruins	room_ruins4	
\E0* The next room awaits./%			Toriel	Ruins	room_ruins4	
\E2* Practice talking to&  the dummy./			Toriel	Ruins	room_ruins4	
\E1* You can say anything..^2.\E2 &* I do not think the dummy&  will be bothered./%			Toriel	Ruins	room_ruins4	
\E0* Do you need some&  ideas for conversation&  topics?/			Toriel	Ruins	room_ruins4	
* Well^1, I often start with&  a simple 'how do you&  do...'/			Toriel	Ruins	room_ruins4	
* You could ask them about&  their favorite books.../			Toriel	Ruins	room_ruins4	
* Jokes can be useful for&  'breaking the ice.'/			Toriel	Ruins	room_ruins4	
* Listen to this one.../			Toriel	Ruins	room_ruins4	
* What did the skeleton&  tile his roof with?/			Toriel	Ruins	room_ruins4	
* ... SHIN-gles!/			Toriel	Ruins	room_ruins4	
\E0* Well^1, I thought it&  was amusing./%			Toriel	Ruins	room_ruins4	
\E1* You can say anything..^2.\E0 &* The dummy will not&  be bothered./%			Toriel	Ruins	room_ruins4	
\E1* There is another puzzle&  in this room.../			Toriel	Ruins	room_ruins5	
\E0* I wonder if you can&  solve it?/%			Toriel	Ruins	room_ruins5	
\E1* This is the puzzle^1,&  but.../			Toriel	Ruins	room_ruins5	
\E0* Here^1, take my hand&  for a moment./%			Toriel	Ruins	room_ruins5	
\E1* Puzzles seem a little&  too dangerous for&  now./%			Toriel	Ruins	room_ruins5	
.../%			Toriel	Ruins	room_ruins6	
\E2* Greetings,^1 my child^2.&* Do not worry^1, I did&  not leave you./			Toriel	Ruins	room_ruins6	
\E0* I was merely behind this&  pillar the whole time./			Toriel	Ruins	room_ruins6	
* Thank you for trusting&  me./			Toriel	Ruins	room_ruins6	
\E2* However^1, there was an&  important reason for&  this exercise./			Toriel	Ruins	room_ruins6	
* ... to test your&  independence./			Toriel	Ruins	room_ruins6	
\E1* I must attend to some&  business^1, and you must&  stay alone for a while./			Toriel	Ruins	room_ruins6	
\E0* Please remain here^2.&*\E1 It's dangerous to&  explore by yourself./			Toriel	Ruins	room_ruins6	
\E0* I have an idea^2.&* I will give you a&  CELL PHONE./			Toriel	Ruins	room_ruins6	
* If you have a need for&  anything^1, just call./			Toriel	Ruins	room_ruins6	
\E1* Be good^1, alright?/%			Toriel	Ruins	room_ruins6	
\E0* You have done&  excellently thus&  far^1, my child./			Toriel	Ruins	room_ruins6	
\E2* However... I have a&  difficult request to ask&  of you./			Toriel	Ruins	room_ruins6	
* .../			Toriel	Ruins	room_ruins6	
* I would like you to walk&  to the end of the room&  by yourself./			Toriel	Ruins	room_ruins6	
\E1* Forgive me for this./%			Toriel	Ruins	room_ruins6	
* Ring..\E0.\TT /			Cell phone	Ruins	room_ruins9	
\F1 %			Toriel (call)	Ruins	room_ruins9	
* Hello?&* This is TORIEL./			Toriel (call)	Ruins	room_ruins9	
* For no reason in&  particular...&* Which do you prefer?/			Toriel (call)	Ruins	room_ruins9	
* Cinnamon or&  butterscotch?&  Cinnamon    Bscotch \C			Toriel (call) and Frisk	Ruins	room_ruins9	
undertale.ini						
ini_open						
Bscotch						
Toriel						
ini_write_real						
ini_close						
* Oh^1, I see.&* Thank you very much!/			Toriel (call)	Ruins	room_ruins9	
\TS \F0 \T0 %			Toriel (call)	Ruins	room_ruins9	
* Click.../%%			Cell phone	Ruins	room_ruins9	
* /						
* It's a fishing rod affixed&  to the ground.../			Narrator	Snowdin	room_tundra3A	
* Reel it in?& &         Yes         No      \C 			Narrator and Frisk	Snowdin	room_tundra3A	
reeled						
image_index						
* All that's attached to&  the end is a photo of a&  weird-looking monster.../			Narrator	Snowdin	room_tundra3A	
* (Call Me!&  Here's my number!)/			Ugly Fish (note)	Snowdin	room_tundra3A	
* You decide not to call./%%			Narrator	Snowdin	room_tundra3A	
* All that's attached to&  the end is a note./			Narrator	Snowdin	room_tundra3A	
* (Nevermind^1, guys!)/%%			Ugly Fish (note)	Snowdin	room_tundra3A	
* You leave it alone./%%			Narrator	Snowdin	room_tundra3A	
* I shouldn't have given myself&  away so easily.../%%			Snowman	Snowdin	room_tundra6A	
* Did you just...&* Consume the part of me&  I had given you?/			Snowman	Snowdin	room_tundra6A	
* In front of my very eyes!?/			Snowman	Snowdin	room_tundra6A	
* I have no words for you..^1.&* Begone!/%%			Snowman	Snowdin	room_tundra6A	
* Thank you for taking care&  of me.../%%			Snowman	Snowdin	room_tundra6A	
scr_itemcheck						
scr_storagecheck						
haveit						
haveit2						
* Huh^1? Again...?/			Snowman	Snowdin	room_tundra6A	
* I'm sorry..^1. if I give you&  any more^1, there will be&  nothing left of me./			Snowman	Snowdin	room_tundra6A	
* I suppose it is true^1.&* Travelling beyond our limits&  is but a fantasy./			Snowman	Snowdin	room_tundra6A	
* It's no different for&  anyone else./			Snowman	Snowdin	room_tundra6A	
* All of monsterkind&  are doomed to stay&  underground^1, forever.../%%			Snowman	Snowdin	room_tundra6A	
"* How am I doing^1?&* By ""I"" I mean the piece&  of me I gave you.../"			Snowman	Snowdin	room_tundra6A	
* Huh^1? You lost it...^1?&* ... I suppose I can give&  you another piece.../			Snowman	Snowdin	room_tundra6A	
scr_itemget						
noroom						
* You don't have any room^1?&* OK..^1. I understand I am not&  a priority for you^1, then./%%			Snowman	Snowdin	room_tundra6A	
* Please be careful this&  time./			Snowman	Snowdin	room_tundra6A	
* (You got the Snowman&  Piece.)/%%			Narrator	Snowdin	room_tundra6A	
%%				Snowdin	room_tundra6A	
* Hello^1.&* I am a snowman./			Snowman	Snowdin	room_tundra6A	
* I want to see the world..^1.&* But I cannot move./			Snowman	Snowdin	room_tundra6A	
* If you would be so kind^1,&  traveller^1, please.../			Snowman	Snowdin	room_tundra6A	
* Take a piece of me and&  bring it very far away.&         Yes         No      \C 			Snowman and Frisk	Snowdin	room_tundra6A	
* It seems you do not&  have enough room for me./%%			Snowman	Snowdin	room_tundra6A	
* Thank you... good luck!/			Snowman	Snowdin	room_tundra6A	
* I see^1.&* Good journey^1, then./%%			Snowman	Snowdin	room_tundra6A	
SANS!!^1!&THAT DIDN'T DO&ANYTHING!/			Papyrus	Snowdin	room_tundra9	
SANS!!^1!&THEY DIDN'T EVEN&LOOK AT IT!/			Papyrus	Snowdin	room_tundra9	
scr_sansface						
* whoops./			Sans	Snowdin	room_tundra9	
* i knew i should have&  used today's crossword&  instead./			Sans	Snowdin	room_tundra9	
scr_papface						
WHAT!^1?&CROSSWORD!?/			Papyrus	Snowdin	room_tundra9	
I CAN'T BELIEVE&YOU SAID THAT!!/			Papyrus	Snowdin	room_tundra9	
IN MY OPINION.../			Papyrus	Snowdin	room_tundra9	
\E3JUNIOR JUMBLE&IS EASILY THE&HARDEST./			Papyrus	Snowdin	room_tundra9	
* what^1? really^1, dude^1?&* that easy-peasy word&  scramble?/			Sans	Snowdin	room_tundra9	
\E1* that's for baby bones./			Sans	Snowdin	room_tundra9	
UN^1. BELIEVABLE./			Papyrus	Snowdin	room_tundra9	
\E0HUMAN!!^1!&SOLVE THIS DISPUTE!/			Papyrus	Snowdin	room_tundra9	
\TS \F0 \E0 \T0 %			Papyrus	Snowdin	room_tundra9	
* (Which is harder?)& &         Jumble      Crossword \C 			Narrator and Frisk	Snowdin	room_tundra9	
   				Snowdin	room_tundra9	
HA^1! HA^1! YES!/			Papyrus	Snowdin	room_tundra9	
HUMANS MUST BE&VERY INTELLIGENT!/			Papyrus	Snowdin	room_tundra9	
IF THEY ALSO FIND&JUNIOR JUMBLE&SO DIFFICULT!/			Papyrus	Snowdin	room_tundra9	
NYEH^1! HEH^1! HEH HEH!/%%			Papyrus	Snowdin	room_tundra9	
YOU TWO ARE WEIRD!/			Papyrus	Snowdin	room_tundra9	
\E3CROSSWORDS ARE SO&EASY./			Papyrus	Snowdin	room_tundra9	
IT'S THE SAME&SOLUTION EVERY&TIME./			Papyrus	Snowdin	room_tundra9	
"\E0I JUST FILL ALL&THE BOXES IN WITH&THE LETTER ""Z"".../"			Papyrus	Snowdin	room_tundra9	
BECAUSE EVERY TIME&I LOOK AT A&CROSSWORD.../			Papyrus	Snowdin	room_tundra9	
ALL I CAN DO IS&SNORE!!!/			Papyrus	Snowdin	room_tundra9	
NYEH HEH HEH!!!/%%			Papyrus	Snowdin	room_tundra9	
doak						
* Hello^1!&* Would you like some&  Nice Cream?/			Nice Cream Guy	Snowdin	room_tundra8	
* It's the frozen treat&  that warms your heart!/			Nice Cream Guy	Snowdin	room_tundra8	
* Now just 15G!& &         Yes         No \C			Nice Cream Guy and Frisk	Snowdin	room_tundra8	
 %			Nice Cream Guy	Snowdin	room_tundra8	
* Nice Cream^1!&* It's the frozen treat&  that warms your heart!/			Nice Cream Guy	Snowdin	room_tundra8	
afford						
gold						
* Here you go^1!&* Have a super-duper day^1!&* (You got the Nice Cream.)/%%			Nice Cream Guy	Snowdin	room_tundra8	
* Huh^1?&* You don't have enough&  money.../			Nice Cream Guy	Snowdin	room_tundra8	
* I wish I could make&  Nice Cream for free.../%%			Nice Cream Guy	Snowdin	room_tundra8	
* It looks like you're&  holding too much stuff^1!&* Oh well!/%%			Nice Cream Guy	Snowdin	room_tundra8	
* Well then..^1.&* Tell your friends.../			Nice Cream Guy	Snowdin	room_tundra8	
* There's ice cream..^1.&* Out in the middle of&  the woods.../%%			Nice Cream Guy	Snowdin	room_tundra8	
* Now just 25G!& &         Yes         No \C			Nice Cream Guy and Frisk	Waterfall	room_water_nicecream	
* Hey^1, you have an umbrella^1,&  just like my cart.../			Nice Cream Guy	Waterfall	room_water_nicecream	
* Such solidarity^1!&* I have no choice but to&  give you a deal!/			Nice Cream Guy	Waterfall	room_water_nicecream	
* Discount Ice Cream! 15G!& &         Yes         No \C			Nice Cream Guy and Frisk	Waterfall	room_water_nicecream	
* Umbrella solidarity!^1?&* I guess I have to give&  you a deal.../			Nice Cream Guy	Waterfall	room_water_nicecream	
itemcount						
* Hey^1!&* You have 3 Punch Cards!/			Nice Cream Guy	Waterfall	room_water_nicecream	
* How about redeeming them&  for some Nice Cream!?/			Nice Cream Guy	Waterfall	room_water_nicecream	
* It's free!& &         Yes         No \C			Nice Cream Guy and Frisk	Waterfall	room_water_nicecream	
* Super^1! Here you go^1!&* Your Card's in the box!&* (You got the Nice Cream.)/%%			Nice Cream Guy and Narrator	Waterfall	room_water_nicecream	
* Huh^1? No money^1?&* Sorry^1, I can't give it to&  you for free./%%			Nice Cream Guy	Waterfall	room_water_nicecream	
* Huh^1? You can't afford it&  even with the discount^1?&* I.../%%			Nice Cream Guy	Waterfall	room_water_nicecream	
rem						
g						
n						
scr_itemshift						
* Here^1! A free Nice Cream^1!&* (You lost 3 cards and got&  a Nice Cream.)/%%			Nice Cream Guy and Narrator	Waterfall	room_water_nicecream	
* There's ice cream..^1.&* Hidden in the depths of a&  watery cavern.../%%			Nice Cream Guy	Waterfall	room_water_nicecream	
* i've been thinking&  about selling treats&  too./			Sans	Snowdin	room_tundra8	
* want some fried snow^1?&* it's just 5G.&  Buy         No\C			Sans and Frisk	Snowdin	room_tundra8	
* did i say 5G^1?&* i meant 50G^1.&  Buy         No\C			Sans and Frisk	Snowdin	room_tundra8	
  			Sans	Snowdin	room_tundra8	
* you're right./			Sans	Snowdin	room_tundra8	
* i should charge way&  more than than that./%%			Sans	Snowdin	room_tundra8	
* really^1?&* how about 5000G?&  Buy         No\C			Sans and Frisk	Snowdin	room_tundra8	
* that's still too low./%%			Sans	Snowdin	room_tundra8	
* 50000G^1.&* that's my final offer.&  Buy         No\C			Sans and Frisk	Snowdin	room_tundra8	
* i have to pay for&  the raw materials&  somehow./%%			Sans	Snowdin	room_tundra8	
* what^1?&* you don't have the&  money?/			Sans	Snowdin	room_tundra8	
* hey^1, that's okay./			Sans	Snowdin	room_tundra8	
\E1* i don't have any snow./%%			Sans	Snowdin	room_tundra8	
* wow^1, that's a lot&  of cash./			Sans	Snowdin	room_tundra8	
\E3* that's why i'm sorry&  to say.../			Sans	Snowdin	room_tundra8	
\E3* i can't sell you&  this fried snow./			Sans	Snowdin	room_tundra8	
\E2* it's got too much&  sentimental value./%%			Sans	Snowdin	room_tundra8	
* don't you know a&  good deal when you&  hear one?/%%			Sans	Snowdin	room_tundra8	
WHAT!^1?&HOW DID YOU&AVOID MY TRAP?/			Papyrus	Snowdin	room_tundra_xoxosmall	
\E3AND^1, MORE&IMPORTANTLY.../			Papyrus	Snowdin	room_tundra_xoxosmall	
\E0IS THERE ANY&LEFT FOR ME???/			Papyrus	Snowdin	room_tundra_xoxosmall	
* (What do you tell Papyrus&  about his spaghetti?)&         Ate it      Left it   \C 			Narrator and Frisk	Snowdin	room_tundra_xoxosmall	
REALLY!?/			Papyrus	Snowdin	room_tundra_xoxosmall	
\E2WOWIE.../			Papyrus	Snowdin	room_tundra_xoxosmall	
NO ONE'S EVER&ENJOYED MY&COOKING BEFORE.../			Papyrus	Snowdin	room_tundra_xoxosmall	
\E0WELL THEN!!/			Papyrus	Snowdin	room_tundra_xoxosmall	
YOU RESISTED THE&FLAVOR OF MY&HOMECOOKED PASTA.../			Papyrus	Snowdin	room_tundra_xoxosmall	
JUST SO YOU&COULD SHARE&IT WITH ME???/			Papyrus	Snowdin	room_tundra_xoxosmall	
\E0FRET NOT HUMAN^1!&I^1, MASTER CHEF&PAPYRUS.../			Papyrus	Snowdin	room_tundra_xoxosmall	
WILL MAKE YOU ALL&THE PASTA YOU&COULD EVER WANT!/			Papyrus	Snowdin	room_tundra_xoxosmall	
HEH HEH HEH HEH&HEH HEH NYEH!/%%			Papyrus	Snowdin	room_tundra_xoxosmall	
HEY!/			Papyrus	Snowdin	room_tundra_randoblock	
IT'S THE HUMAN!/			Papyrus	Snowdin	room_tundra_randoblock	
\E0YOU'RE GONNA&LOVE THIS&PUZZLE!/			Papyrus	Snowdin	room_tundra_randoblock	
IT WAS MADE&BY THE GREAT&DR. ALPHYS!/			Papyrus	Snowdin	room_tundra_randoblock	
YOU SEE&THESE TILES&!?/			Papyrus	Snowdin	room_tundra_randoblock	
ONCE I THROW&THIS SWITCH.../			Papyrus	Snowdin	room_tundra_randoblock	
THEY WILL&BEGIN TO&CHANGE COLOR!/			Papyrus	Snowdin	room_tundra_randoblock	
EACH COLOR HAS&A DIFFERENT&FUNCTION!/			Papyrus	Snowdin	room_tundra_randoblock	
RED TILES ARE&IMPASSABLE!/			Papyrus	Snowdin	room_tundra_randoblock	
YOU CANNOT&WALK ON THEM!/			Papyrus	Snowdin	room_tundra_randoblock	
YELLOW TILES&ARE ELECTRIC!/			Papyrus	Snowdin	room_tundra_randoblock	
THEY WILL&ELECTROCUTE&YOU!/			Papyrus	Snowdin	room_tundra_randoblock	
GREEN TILES&ARE ALARM&TILES!/			Papyrus	Snowdin	room_tundra_randoblock	
IF YOU STEP&ON THEM.../			Papyrus	Snowdin	room_tundra_randoblock	
YOU WILL HAVE&TO FIGHT A&MONSTER!!/			Papyrus	Snowdin	room_tundra_randoblock	
ORANGE TILES&ARE ORANGE-&SCENTED./			Papyrus	Snowdin	room_tundra_randoblock	
THEY WILL MAKE&YOU SMELL&DELICIOUS!/			Papyrus	Snowdin	room_tundra_randoblock	
BLUE TILES ARE&WATER TILES./			Papyrus	Snowdin	room_tundra_randoblock	
SWIM THROUGH&IF YOU LIKE^1,&BUT.../			Papyrus	Snowdin	room_tundra_randoblock	
IF YOU SMELL&LIKE ORANGES!/			Papyrus	Snowdin	room_tundra_randoblock	
THE PIRANHAS&WILL BITE&YOU./			Papyrus	Snowdin	room_tundra_randoblock	
ALSO^1, IF A&BLUE TILE IS&NEXT TO A,/			Papyrus	Snowdin	room_tundra_randoblock	
YELLOW TILE^1,&THE WATER WILL&ALSO ZAP YOU!/			Papyrus	Snowdin	room_tundra_randoblock	
PURPLE TILES&ARE SLIPPERY!/			Papyrus	Snowdin	room_tundra_randoblock	
YOU WILL SLIDE&TO THE NEXT&TILE!/			Papyrus	Snowdin	room_tundra_randoblock	
HOWEVER^1, THE&SLIPPERY&SOAP.../			Papyrus	Snowdin	room_tundra_randoblock	
SMELLS LIKE&LEMONS!!/			Papyrus	Snowdin	room_tundra_randoblock	
